theater_type,theater_name,location,movie_title,start_time
MEGABOX,강남,서울,슈퍼 마리오 브라더스,15:00
MEGABOX,강남,서울,슈퍼 마리오 브라더스,17:00
MEGABOX,강남,서울,슈퍼 마리오 브라더스,19:00
MEGABOX,강남,서울,슈퍼 마리오 브라더스,13:00
MEGABOX,강남,서울,슈퍼 마리오 브라더스,10:00
MEGABOX,강남,서울,슈퍼 마리오 브라더스,12:00
MEGABOX,강남,서울,슈퍼 마리오 브라더스,14:00
MEGABOX,강남,서울,슈퍼 마리오 브라더스,16:00
MEGABOX,강남,서울,슈퍼 마리오 브라더스,18:00
MEGABOX,강남,서울,슈퍼 마리오 브라더스,20:00
MEGABOX,강남,서울,슈퍼 마리오 브라더스,22:00
MEGABOX,강남,서울,드림,09:50
MEGABOX,강남,서울,드림,12:20
MEGABOX,강남,서울,드림,14:50
MEGABOX,강남,서울,드림,17:20
MEGABOX,강남,서울,드림,19:50
MEGABOX,강남,서울,드림,10:50
MEGABOX,강남,서울,드림,13:20
MEGABOX,강남,서울,드림,15:50
MEGABOX,강남,서울,드림,18:20
MEGABOX,강남,서울,드림,20:50
MEGABOX,강남,서울,드림,16:30
MEGABOX,강남,서울,드림,19:00
MEGABOX,강남,서울,드림,21:40
MEGABOX,강남,서울,더 퍼스트 슬램덩크,12:25
MEGABOX,강남,서울,스즈메의 문단속,10:30
MEGABOX,강남,서울,스즈메의 문단속,15:00
MEGABOX,강남,서울,스즈메의 문단속,17:30
MEGABOX,강남,서울,스즈메의 문단속,20:00
MEGABOX,강남,서울,존 윅 4,21:00
MEGABOX,강남,서울,존 윅 4,12:45
MEGABOX,강남,서울,존 윅 4,16:00
MEGABOX,강남,서울,존 윅 4,19:20
MEGABOX,강남,서울,리바운드,11:30
MEGABOX,강남,서울,리바운드,14:00
MEGABOX,강남,서울,무명,10:05
MEGABOX,강남,서울,렌필드,10:25
MEGABOX,강남대로(씨티),서울,슈퍼 마리오 브라더스,13:30
MEGABOX,강남대로(씨티),서울,슈퍼 마리오 브라더스,15:30
MEGABOX,강남대로(씨티),서울,슈퍼 마리오 브라더스,17:30
MEGABOX,강남대로(씨티),서울,슈퍼 마리오 브라더스,19:30
MEGABOX,강남대로(씨티),서울,슈퍼 마리오 브라더스,21:30
MEGABOX,강남대로(씨티),서울,슈퍼 마리오 브라더스,10:00
MEGABOX,강남대로(씨티),서울,슈퍼 마리오 브라더스,12:00
MEGABOX,강남대로(씨티),서울,드림,11:30
MEGABOX,강남대로(씨티),서울,드림,14:00
MEGABOX,강남대로(씨티),서울,드림,16:30
MEGABOX,강남대로(씨티),서울,드림,19:00
MEGABOX,강남대로(씨티),서울,드림,21:30
MEGABOX,강남대로(씨티),서울,더 퍼스트 슬램덩크,16:30
MEGABOX,강남대로(씨티),서울,스즈메의 문단속,11:00
MEGABOX,강남대로(씨티),서울,스즈메의 문단속,14:00
MEGABOX,강남대로(씨티),서울,스즈메의 문단속,19:00
MEGABOX,강남대로(씨티),서울,스즈메의 문단속,21:30
MEGABOX,강남대로(씨티),서울,존 윅 4,10:35
MEGABOX,강남대로(씨티),서울,존 윅 4,13:50
MEGABOX,강남대로(씨티),서울,존 윅 4,17:05
MEGABOX,강남대로(씨티),서울,존 윅 4,20:20
MEGABOX,강동,서울,슈퍼 마리오 브라더스,15:20
MEGABOX,강동,서울,슈퍼 마리오 브라더스,19:20
MEGABOX,강동,서울,슈퍼 마리오 브라더스,09:20
MEGABOX,강동,서울,슈퍼 마리오 브라더스,11:20
MEGABOX,강동,서울,슈퍼 마리오 브라더스,17:20
MEGABOX,강동,서울,슈퍼 마리오 브라더스,21:20
MEGABOX,강동,서울,슈퍼 마리오 브라더스,13:20
MEGABOX,강동,서울,슈퍼 마리오 브라더스,10:25
MEGABOX,강동,서울,슈퍼 마리오 브라더스,12:25
MEGABOX,강동,서울,슈퍼 마리오 브라더스,18:20
MEGABOX,강동,서울,슈퍼 마리오 브라더스,14:20
MEGABOX,강동,서울,드림,10:40
MEGABOX,강동,서울,드림,13:15
MEGABOX,강동,서울,드림,15:50
MEGABOX,강동,서울,드림,18:25
MEGABOX,강동,서울,드림,21:00
MEGABOX,강동,서울,드림,09:40
MEGABOX,강동,서울,드림,12:15
MEGABOX,강동,서울,드림,14:50
MEGABOX,강동,서울,드림,17:25
MEGABOX,강동,서울,드림,20:00
MEGABOX,강동,서울,더 퍼스트 슬램덩크,15:35
MEGABOX,강동,서울,더 퍼스트 슬램덩크,20:50
MEGABOX,강동,서울,더 퍼스트 슬램덩크,18:25
MEGABOX,강동,서울,스즈메의 문단속,14:25
MEGABOX,강동,서울,스즈메의 문단속,13:00
MEGABOX,강동,서울,스즈메의 문단속,18:15
MEGABOX,강동,서울,스즈메의 문단속,09:45
MEGABOX,강동,서울,스즈메의 문단속,21:00
MEGABOX,강동,서울,존 윅 4,16:55
MEGABOX,강동,서울,존 윅 4,20:10
MEGABOX,강동,서울,존 윅 4,11:00
MEGABOX,강동,서울,존 윅 4,14:45
MEGABOX,강동,서울,킬링 로맨스,09:30
MEGABOX,강동,서울,킬링 로맨스,21:10
MEGABOX,강동,서울,리바운드,09:35
MEGABOX,강동,서울,리바운드,21:00
MEGABOX,강동,서울,리바운드,15:55
MEGABOX,강동,서울,항구의 니쿠코짱!,09:40
MEGABOX,강동,서울,항구의 니쿠코짱!,14:10
MEGABOX,강동,서울,무명,18:35
MEGABOX,강동,서울,거울 속 외딴 성,11:45
MEGABOX,강동,서울,파벨만스,18:00
MEGABOX,강동,서울,라이스보이 슬립스,16:45
MEGABOX,강동,서울,렌필드,16:20
MEGABOX,강동,서울,스트레이트 스토리,11:50
MEGABOX,강동,서울,아바타: 물의 길,12:15
MEGABOX,강동,서울,이니셰린의 밴시,16:15
MEGABOX,강동,서울,피기,21:15
MEGABOX,강동,서울,오토라는 남자,14:10
MEGABOX,강동,서울,에브리씽 에브리웨어 올 앳 원스+,20:30
MEGABOX,강동,서울,던전 앤 드래곤: 도적들의 명예,12:05
MEGABOX,강동,서울,65,19:10
MEGABOX,강동,서울,[노래자막] 영웅,10:30
MEGABOX,군자,서울,슈퍼 마리오 브라더스,09:20
MEGABOX,군자,서울,슈퍼 마리오 브라더스,11:20
MEGABOX,군자,서울,슈퍼 마리오 브라더스,13:20
MEGABOX,군자,서울,슈퍼 마리오 브라더스,15:20
MEGABOX,군자,서울,슈퍼 마리오 브라더스,17:20
MEGABOX,군자,서울,슈퍼 마리오 브라더스,19:20
MEGABOX,군자,서울,슈퍼 마리오 브라더스,21:20
MEGABOX,군자,서울,슈퍼 마리오 브라더스,10:20
MEGABOX,군자,서울,슈퍼 마리오 브라더스,12:20
MEGABOX,군자,서울,슈퍼 마리오 브라더스,14:20
MEGABOX,군자,서울,드림,11:00
MEGABOX,군자,서울,드림,13:30
MEGABOX,군자,서울,드림,16:00
MEGABOX,군자,서울,드림,18:30
MEGABOX,군자,서울,드림,21:00
MEGABOX,군자,서울,드림,09:45
MEGABOX,군자,서울,드림,12:15
MEGABOX,군자,서울,드림,14:45
MEGABOX,군자,서울,드림,17:15
MEGABOX,군자,서울,드림,19:45
MEGABOX,군자,서울,더 퍼스트 슬램덩크,09:10
MEGABOX,군자,서울,더 퍼스트 슬램덩크,16:10
MEGABOX,군자,서울,스즈메의 문단속,16:05
MEGABOX,군자,서울,스즈메의 문단속,20:50
MEGABOX,군자,서울,스즈메의 문단속,13:40
MEGABOX,군자,서울,존 윅 4,17:10
MEGABOX,군자,서울,존 윅 4,20:25
MEGABOX,군자,서울,존 윅 4,09:35
MEGABOX,군자,서울,존 윅 4,12:50
MEGABOX,군자,서울,킬링 로맨스,10:25
MEGABOX,군자,서울,킬링 로맨스,12:40
MEGABOX,군자,서울,킬링 로맨스,14:55
MEGABOX,군자,서울,킬링 로맨스,19:00
MEGABOX,군자,서울,킬링 로맨스,21:15
MEGABOX,군자,서울,리바운드,20:35
MEGABOX,군자,서울,항구의 니쿠코짱!,18:40
MEGABOX,군자,서울,무명,13:35
MEGABOX,군자,서울,무명,20:45
MEGABOX,군자,서울,거울 속 외딴 성,11:10
MEGABOX,군자,서울,[F] 자전거 도둑,16:15
MEGABOX,군자,서울,라이스보이 슬립스,20:15
MEGABOX,군자,서울,렌필드,11:40
MEGABOX,군자,서울,[F] 스트레이트 스토리,18:35
MEGABOX,군자,서울,[F] 피기,18:10
MEGABOX,군자,서울,던전 앤 드래곤: 도적들의 명예,16:20
MEGABOX,군자,서울,[F] 2퍼센트,18:20
MEGABOX,군자,서울,소울메이트,15:40
MEGABOX,군자,서울,[F] 튤립 모양,09:00
MEGABOX,군자,서울,[F] 사랑의 고고학,12:30
MEGABOX,군자,서울,보이지 않아,10:10
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,22:30
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,14:10
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,16:15
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,18:20
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,20:25
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,10:05
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,12:05
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,14:40
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,16:45
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,18:50
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,20:55
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,23:00
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,10:30
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,12:35
MEGABOX,더 부티크 목동현대백화점,서울,슈퍼 마리오 브라더스,13:25
